Clade,Species,cmyc,rag1,rag2,myoglobin,Glyceraldehyde3phosphate,MUSK,OrnithineDecarboxylase,Rhodopsin,TGFB2,Tropomyosin,ZENK,ZENK3UTR,cytb,coi,nd2,nd3
Acanthisitta_chloris,Acanthisitta_chloris,AY037838,AY056975,AY443102,EU726212,EU726202,EU739756,EU726220,EU737164,EU737322,,,,AY325307,AY325307,AY325307,AY325307
Accipitridae,Pandion_haliaetus,DQ881915,EF078706,,EU740003,,EU739847,EF552732,EU737254,EU737418,EU737569,,,AJ604503,DQ434696,AY987051,NC_008550
Aegothelidae,Aegotheles_albertisi,DQ881883,AY233362,,AY233375,,,DQ881710,,,,,,X95764,,,
Alcedinidae,Alcedo_atthis,AF295143,DQ111792,,AY165800,,,DQ881712,,,,,,D38329,EF515759,DQ640772,AY998968
Anatinae,Anas_platyrhynchos,AF295160,,,EU739906,,EU739751,EF552708,EU737158,EU737316,EU737485,,,EU009397,AY666490,AF059138,NC_009684
Anhimidae,Chau_torquata,AY034413,AF143728,AY140780,EU739939,,EU739783,DQ881793,EU737192,EU737351,EU737512,,AF490203,AY140736,AY140730,AY140738,
Anhingidae,Anhinga_anhinga,DQ881885,DQ881797,,DQ881838,,EU739761,EF552709,EU737170,EU737328,EU737495,,,U83156,DQ432727,,
Anseranas_semipalmata,Anseranas_semipalmata,AY277499,,,EU739919,,EU739763,,EU737172,EU737330,EU737497,,,AY309455,NC_005933,NC_005933,NC_005933
Anserinae,Anser_albifrons,,DQ137227,,,,,,,,,,,AF363031,DQ433314,NC_004539,NC_004539
Antpittas,Grallaria_squamigera,AY065693,AY065749,,AY065778,AY677078,,,,,,,,AY139638,,AF127203,
Antthrushes,Formicarius_colma,,AY056993,AY443147,,,,,,,,,,AF082053,,AY612460,AY489552
Apodidae,Streptoprocne_zoris,,,,EU740043,,EU739879,GU166929,EU737290,EU737458,EU737600,AF490178,AF490233,AY294481,AY275860,AY294543,
Aramus_guarauna,Aramus_guarauna,DQ881887,DQ881798,,DQ881840,,EU739764,DQ881716,EU737173,EU737331,,,,DQ485899,DQ433321,,
Ardeidae,Ardea_herodias,,,,EU739921,,EU739765,,EU737174,EU737332,,AF490152,AF490205,AF193821,DQ433329,,
Balaeniceps_rex,Balaeniceps_rex,DQ881889,DQ881800,,DQ881842,,,DQ881719,EU737177,EU737335,,,,U08937,,,
BC1,Menura_novaehollandiae,AF295169,AY057004,AY443171,EU739986,DQ406670,EU739831,EF441242,EU737238,EU737401,EU737554,,,AY542313,NC_007883,NC_007883,NC_007883
BC2,Ptilonorhynchus_violaceus,AY064289,EU341461,AY443216,AY064742,EU341417,,,,,,,,X74256,AF197833,EU341431,
BC3,Cormobates_placens,AY064282,AY064260,,AY064731,EF441215,,EF441237,,,,,,AY064278,,AY064748,
BC4,Malurus_amabilis,AY037840,AY037847,,AY064729,EF441219,,EF441241,,,,,,AY228088,,AY064752,
BC6,Acanthiza_pusilla,,,,,AF129255,,,,,,,,AY488392,,AY488316,
BC7,Ptiloprora_plumbea,AY037841,AY037848,,AY064736,EF441229,,EF441251,,,,,,AY488382,,AY064760,
BC8,Orthonyx_temminckii,AY064286,AY443309,AY443187,AY064728,EF441222,,EF441244,,,,,,AY064275,,AY064755,
Brachypteraciidae,Brachypteracias_squamigera,,,,EU739928,,EU739772,,EU737180,EU737339,EU737502,,,AF407447,AF407482,AF407464,
Bucconidae,Nystalus_maculatus,AF295153,AF294680,,AY165817,,,DQ881721,,,,,,,,,
